datetime,oveFan_u,oveHeaPumY_u,ovePum_u,reaTSetCoo_y,reaTSetHea_y,reaTZon_y,time,weaSta_reaWeaHDirNor_y,weaSta_reaWeaTDryBul_y,rewards
2023-10-22 16:43:35,0.0,0.0,0.0,303.15,288.15,308.2271919978723,25461815.0,322.9018911564773,284.07852457668446,-1.4941514222321928e-05
2023-10-22 16:44:05,0.0,0.0,0.0,303.15,288.15,308.2253594650184,25461845.0,320.58424234664267,284.0721738207223,-1.4941514222321928e-05
2023-10-22 16:44:35,0.0,0.0,0.0,303.15,288.15,308.2234329098856,25461875.0,318.2323299323996,284.0657824397602,-1.4941514222321928e-05
2023-10-22 16:45:05,0.0,0.0,0.0,303.15,288.15,308.2214166181479,25461905.0,315.8471635459182,284.05935066138915,-1.4941514222321928e-05
2023-10-22 16:45:35,1.0,0.800000011920929,1.0,303.15,288.15,308.21931825623494,25461935.0,313.42975281936873,284.05287871320013,-0.0012535037390182246
2023-10-22 16:46:05,1.0,0.800000011920929,1.0,303.15,288.15,308.2171646778355,25461965.0,310.9811073849215,284.04636682278425,-0.0012535037390182246
2023-10-22 16:46:35,1.0,0.800000011920929,1.0,303.15,288.15,308.2149806433211,25461995.0,308.5022368747467,284.0398152177325,-0.0012535037390182246
2023-10-22 16:47:05,1.0,0.800000011920929,1.0,303.15,288.15,308.2127854413876,25462025.0,305.9941509210146,284.03322412563597,-0.0012535037390182246
2023-10-22 16:47:35,1.0,0.800000011920929,1.0,303.15,288.15,308.210593422405,25462055.0,303.4578591558954,284.0265937740856,-0.0012535037390182246
2023-10-22 16:48:05,1.0,0.800000011920929,1.0,303.15,288.15,308.2084144661957,25462085.0,300.89437121155936,284.01992439067254,-0.0012535037390182246
2023-10-22 16:48:35,1.0,0.800000011920929,1.0,303.15,288.15,308.20625405652356,25462115.0,298.30469672017676,284.01321620298773,-0.0012535037390182246
2023-10-22 16:49:05,1.0,0.800000011920929,1.0,303.15,288.15,308.2041162382101,25462145.0,295.6898453139179,284.0064694386223,-0.0012535037390182246
2023-10-22 16:49:35,1.0,0.800000011920929,1.0,303.15,288.15,308.20200860116466,25462175.0,293.05082662495283,283.99968432516715,-0.0012535037390182246
2023-10-22 16:50:05,1.0,0.800000011920929,1.0,303.15,288.15,308.1999423670146,25462205.0,290.38865028545194,283.99286109021347,-0.0012535037390182246
2023-10-22 16:50:35,1.0,0.800000011920929,1.0,303.15,288.15,308.19793038641274,25462235.0,287.7043259275855,283.9859999613522,-0.0012535037390182246
2023-10-22 16:51:05,1.0,0.800000011920929,1.0,303.15,288.15,308.19597854398233,25462265.0,284.99886318352367,283.9791011661744,-0.0012535037390182246
2023-10-22 16:51:35,1.0,0.800000011920929,1.0,303.15,288.15,308.1940903426866,25462295.0,282.2732716854367,283.9721649322711,-0.0012535037390182246
2023-10-22 16:52:05,1.0,0.800000011920929,1.0,303.15,288.15,308.1922656673617,25462325.0,279.52856106549484,283.96519148723337,-0.0012535037390182246
2023-10-22 16:52:35,1.0,0.800000011920929,1.0,303.15,288.15,308.1905008472677,25462355.0,276.7657409558684,283.9581810586522,-0.0012535037390182246
2023-10-22 16:53:05,1.0,0.800000011920929,1.0,303.15,288.15,308.18879079967815,25462385.0,273.9858209887276,283.9511338741187,-0.0012535037390182246
