,Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
155,Test,53,1300.625249,7,17-Apr,-5.198272705,0.26801289,0.19626307,1.175227962,0,,0.023625722,,366.4586007,-366.7266136
156,Train,54,1324.970209,7,28-Feb,-11.10319138,0.259688298,0.181588318,1.087355195,0,,0.022336185,,29.1786551,-29.4383434
157,Test,54,1324.970209,7,16-Jan,-11.10319138,0.292823788,0.185475657,1.110632676,0,,0.021174585,,47.30449638,-47.59732017
158,Test,54,1324.970209,7,17-Apr,-11.10319138,0.270228063,0.196338995,1.175682603,0,,0.023891713,,341.4757707,-341.7459988
159,Train,55,1351.246012,7,28-Feb,-5.446991444,0.237776579,0.166861283,0.999169357,0,,0.021648165,,23.67258462,-23.9103612
160,Test,55,1351.246012,7,16-Jan,-5.446991444,0.285228522,0.179679791,1.075926892,0,,0.020980763,,42.02188215,-42.30711067
161,Test,55,1351.246012,7,17-Apr,-5.446991444,0.26650299,0.193593805,1.159244339,0,,0.024313749,,358.9744495,-359.2409525
162,Train,56,1375.982376,7,28-Feb,-23.90248299,0.250260292,0.175861673,1.053063909,0,,0.022061366,,29.5802826,-29.83054289
163,Test,56,1375.982376,7,16-Jan,-23.90248299,0.238544844,0.15052696,0.901359045,0,,0.020503003,,117.1624501,-117.400995
164,Test,56,1375.982376,7,17-Apr,-23.90248299,0.245461837,0.178931398,1.071445496,0,,0.023819263,,305.8589287,-306.1043905
165,Train,57,1400.097597,7,28-Feb,0.833540678,0.265837182,0.185933497,1.113374235,0,,0.02205741,,37.16375836,-37.42959554
166,Test,57,1400.097597,7,16-Jan,0.833540678,0.285139948,0.17960893,1.075502576,0,,0.020921317,,56.29982274,-56.58496269
167,Test,57,1400.097597,7,17-Apr,0.833540678,0.270449792,0.197172721,1.180674978,0,,0.024133762,,345.0779341,-345.3483839
168,Train,58,1426.542428,7,28-Feb,-8.908182144,0.265728855,0.186650679,1.117668735,0,,0.022428584,,35.95144961,-36.21717847
169,Test,58,1426.542428,7,16-Jan,-8.908182144,0.230717469,0.145898951,0.873646411,0,,0.020369945,,106.7950828,-107.0258002
170,Test,58,1426.542428,7,17-Apr,-8.908182144,0.254542897,0.185857387,1.112918484,0,,0.023576181,,283.8680347,-284.1225776
171,Train,59,1451.03282,7,28-Feb,-0.298261881,0.261165031,0.183516598,1.098901785,0,,0.021468071,,22.00899785,-22.27016288
172,Test,59,1451.03282,7,16-Jan,-0.298261881,0.268166402,0.169689003,1.016101816,0,,0.021018997,,61.23922456,-61.50739097
173,Test,59,1451.03282,7,17-Apr,-0.298261881,0.249050451,0.180457521,1.080583959,0,,0.023580524,,280.1204632,-280.3695136
174,Train,60,1476.285891,7,28-Feb,1.443861961,0.267903308,0.187567404,1.123158108,0,,0.022461342,,27.51709306,-27.78499637
175,Test,60,1476.285891,7,16-Jan,1.443861961,0.267172781,0.169398094,1.014359846,0,,0.020869402,,68.13387299,-68.40104577
176,Test,60,1476.285891,7,17-Apr,1.443861961,0.213467516,0.155318065,0.930048291,0,,0.024004562,,206.2005783,-206.4140458
177,Train,61,1500.919759,7,28-Feb,-22.16094589,0.2556768,0.17954717,1.075132753,0,,0.021978486,,39.75690693,-40.01258373
178,Test,61,1500.919759,7,16-Jan,-22.16094589,0.263906486,0.166493864,0.996969248,0,,0.02084961,,87.66921402,-87.93312051
179,Test,61,1500.919759,7,17-Apr,-22.16094589,0.236047275,0.172352886,1.03205321,0,,0.024024247,,267.478452,-267.7144992
180,Train,62,1526.17092,7,28-Feb,-7.84044838,0.26389432,0.185235385,1.109193921,0,,0.022119298,,18.7899079,-19.05380222
181,Test,62,1526.17092,7,16-Jan,-7.84044838,0.26367465,0.166685874,0.998119004,0,,0.020771467,,28.88907177,-29.15274642
182,Test,62,1526.17092,7,17-Apr,-7.84044838,0.218781291,0.160057621,0.958428867,0,,0.024699415,,227.0445598,-227.2633411
183,Train,63,1551.099797,7,28-Feb,2.882800817,0.238297203,0.167146575,1.000877693,0,,0.021300783,,21.94553918,-22.18383638
184,Test,63,1551.099797,7,16-Jan,2.882800817,0.217457193,0.137993677,0.826309443,0,,0.020276227,,141.7898661,-142.0073233
